id,name,brewery_type,city,state_province,country,latitude,longitude
f856d961-d228-4dce-aa16-57eef43e6298,Mighty Squirrel Brewing Co.,regional,Waltham,Massachusetts,United States,42.38765773353828,-71.2010975725173
bd9dc3d5-c3c8-4629-83f3-94e9bf3a87e2,Migration Brewing Co,brewpub,Portland,Oregon,United States,45.52624,-122.63635
12a897d9-1f87-4f57-b610-7fc1328fbaa8,Migration Brewing Co,micro,Portland,Oregon,United States,45.5393653,-122.4772531
d2faf757-7ac9-4864-af86-f34beff36f11,Mike Hess Brewing,micro,San Diego,California,United States,32.747711,-117.12854
084aeeb4-c3dd-4f83-9d43-732e9bac41d2,Mike Hess Brewing - Miramar,micro,San Diego,California,United States,32.89080081,-117.1518284
7b023a28-3a41-4c3c-ae2a-e75d588872b6,Mikerphone Brewing,micro,Elk Grove Village,Illinois,United States,42.02909208,-87.96704535
e5d8969a-c6b8-4931-901b-0ba2222bcd63,Mikkeller Berlin,bar,Berlin,Berlin,Germany,13.3942421,52.5285769
385a2831-a7d5-4d07-bcff-d9d3312c571c,Mikkeller Brewing San Diego,micro,San Diego,California,United States,32.89146307,-117.144171
7770266c-6747-4a70-b4e6-fa82d252f4f2,Mile Post 111 Brewing,brewpub,Cashmere,Washington,United States,47.5236059,-120.4700494
4a6d47c5-6fd8-4e40-b1df-a831077878ab,Mile Wide Beer Co.,micro,Louisville,Kentucky,United States,38.2465656,-85.7330744
ec4a41db-5ab0-47b2-b6a8-3fbcad469400,Mill City Brew Werks,closed,Camas,Washington,United States,45.585626,-122.404172
6630c59f-a5f1-4d38-8a77-1a4436c232b1,Mill Creek Brewing Co.,micro,Nolensville,Tennessee,United States,35.9575301,-86.67009573
91ed8c2e-960f-4c44-af5b-05e3d550f382,Mill Creek Brewpub,closed,Walla Walla,Washington,United States,46.06927939,-118.3349272
8dc2e866-7df1-4d3c-b255-7a3848f88d46,Mill House Brewing Company,brewpub,Poughkeepsie,New York,United States,41.705077,-73.926472
48e6d408-34ed-41ed-8bfb-fcd23598a36c,Mill Valley Beer Works,brewpub,Mill Valley,California,United States,37.9053888,-122.5493619
